libsecsdk.so base address:0x70225dd000
0x70225fe3e8[libsecsdk.so@0x213e8]		ldr	x1, [x19, #32]	X19=0x708b79f4b8
0x70225fe3ec[libsecsdk.so@0x213ec]		add	x1, x1, #1	X1=0x708b79f4b8
0x70225fe3f0[libsecsdk.so@0x213f0]		str	x1, [x19, #32]	X1=0x708b79f4b9 X19=0x708b79f4b8
0x70225fe3f4[libsecsdk.so@0x213f4]		ldrb	w2, [x20], #1	X20=0x70226274e1
0x70225fe3f8[libsecsdk.so@0x213f8]		cbnz	w2, #-96	W2=0xe3
0x70225fe398[libsecsdk.so@0x21398]		add	w25, w25, #1	W25=0x0
0x70225fe39c[libsecsdk.so@0x2139c]		add	x4, x27, #4000	X27=0x702260d000
0x70225fe3a0[libsecsdk.so@0x213a0]		and	w5, w25, #0x7	W25=0x1
0x70225fe3a4[libsecsdk.so@0x213a4]		ldr	x0, [x19, #40]	X19=0x708b79f4b8
0x70225fe3a8[libsecsdk.so@0x213a8]		sub	x3, x1, x0	X1=0x708b79f4b9 X0=0x708b79f4b8
0x70225fe3ac[libsecsdk.so@0x213ac]		ldr	w21, [x4, w5, sxtw #2]	X4=0x702260dfa0 W5=0x1
0x70225fe3b0[libsecsdk.so@0x213b0]		cmn	x3, #2	X3=0x1
0x70225fe3b4[libsecsdk.so@0x213b4]		eor	w2, w2, w21	W2=0xe3 W21=0x2
0x70225fe3b8[libsecsdk.so@0x213b8]		and	w21, w2, #0x7f	W2=0xe1
0x70225fe3bc[libsecsdk.so@0x213bc]		b.eq	#716	
0x70225fe3c0[libsecsdk.so@0x213c0]		cmp	x19, x0	X19=0x708b79f4b8 X0=0x708b79f4b8
0x70225fe3c4[libsecsdk.so@0x213c4]		b.eq	#564	
0x70225fe5f8[libsecsdk.so@0x215f8]		sub	x1, x19, x1	X19=0x708b79f4b8 X1=0x708b79f4b9
0x70225fe5fc[libsecsdk.so@0x215fc]		add	x1, x1, #32	X1=0xffffffffffffffff
0x70225fe600[libsecsdk.so@0x21600]		b	#-560	
0x70225fe3d0[libsecsdk.so@0x213d0]		cmp	x1, #1	X1=0x1f
0x70225fe3d4[libsecsdk.so@0x213d4]		b.ls	#76	
0x70225fe3d8[libsecsdk.so@0x213d8]		ldr	x1, [x19, #32]	X19=0x708b79f4b8
0x70225fe3dc[libsecsdk.so@0x213dc]		strb	wzr, [x1, #1]	X1=0x708b79f4b9
0x70225fe3e0[libsecsdk.so@0x213e0]		ldr	x1, [x19, #32]	X19=0x708b79f4b8
0x70225fe3e4[libsecsdk.so@0x213e4]		strb	w21, [x1]	W21=0x61 X1=0x708b79f4b9
0x70225fe3e8[libsecsdk.so@0x213e8]		ldr	x1, [x19, #32]	X19=0x708b79f4b8
0x70225fe3ec[libsecsdk.so@0x213ec]		add	x1, x1, #1	X1=0x708b79f4b9
0x70225fe3f0[libsecsdk.so@0x213f0]		str	x1, [x19, #32]	X1=0x708b79f4ba X19=0x708b79f4b8
0x70225fe3f4[libsecsdk.so@0x213f4]		ldrb	w2, [x20], #1	X20=0x70226274e2
0x70225fe3f8[libsecsdk.so@0x213f8]		cbnz	w2, #-96	W2=0xf5
0x70225fe398[libsecsdk.so@0x21398]		add	w25, w25, #1	W25=0x1
0x70225fe39c[libsecsdk.so@0x2139c]		add	x4, x27, #4000	X27=0x702260d000
0x70225fe3a0[libsecsdk.so@0x213a0]		and	w5, w25, #0x7	W25=0x2
0x70225fe3a4[libsecsdk.so@0x213a4]		ldr	x0, [x19, #40]	X19=0x708b79f4b8
0x70225fe3a8[libsecsdk.so@0x213a8]		sub	x3, x1, x0	X1=0x708b79f4ba X0=0x708b79f4b8
0x70225fe3ac[libsecsdk.so@0x213ac]		ldr	w21, [x4, w5, sxtw #2]	X4=0x702260dfa0 W5=0x2
0x70225fe3b0[libsecsdk.so@0x213b0]		cmn	x3, #2	X3=0x2
0x70225fe3b4[libsecsdk.so@0x213b4]		eor	w2, w2, w21	W2=0xf5 W21=0x3
0x70225fe3b8[libsecsdk.so@0x213b8]		and	w21, w2, #0x7f	W2=0xf6
0x70225fe3bc[libsecsdk.so@0x213bc]		b.eq	#716	
0x70225fe3c0[libsecsdk.so@0x213c0]		cmp	x19, x0	X19=0x708b79f4b8 X0=0x708b79f4b8
0x70225fe3c4[libsecsdk.so@0x213c4]		b.eq	#564	
0x70225fe5f8[libsecsdk.so@0x215f8]		sub	x1, x19, x1	X19=0x708b79f4b8 X1=0x708b79f4ba
0x70225fe5fc[libsecsdk.so@0x215fc]		add	x1, x1, #32	X1=0xfffffffffffffffe
0x70225fe600[libsecsdk.so@0x21600]		b	#-560	
